UUID                                  NAME                    VERSION     OS       TYPE          PUB
23ee2dbc-c155-11e6-ab6d-bf5689f582fd  centos-7                20161213    linux    lx-dataset    2016-12-13
b2d3c018-e6e5-11e6-9815-f7d92aad9089  minimal-64-lts          16.4.1      smartos  zone-dataset  2017-01-30
1f32508c-e6e9-11e6-bc05-8fea9e979940  base-64-lts             16.4.1      smartos  zone-dataset  2017-01-30
0d649af0-e6ed-11e6-8689-7fb3356bad96  pkgbuild                16.4.1      smartos  zone-dataset  2017-01-30
e74a9cd0-f2d0-11e6-8b69-b3acf2ef87f7  debian-8                20170214    linux    lx-dataset    2017-02-14
19aa3328-0025-11e7-a19a-c39077bfd4cf  alpine-3                20170303    linux    lx-dataset    2017-03-03
c743297a-1328-11e7-ac69-df9fae73cd97  centos-6                20170327    linux    zvol          2017-03-27
66d919a8-132a-11e7-a7b8-5b99fa122880  centos-7                20170327    linux    zvol          2017-03-27
5b3e188a-c8af-42da-9b2d-841ce109de7a  ubuntu-certified-14.04  20170330.1  linux    zvol          2017-03-31
554abb2e-a957-4b51-a601-97c934eadf33  ubuntu-certified-16.04  20170330    linux    zvol          2017-03-31
2c7a56de-1819-11e7-8a7b-03bf1f0fb39d  freebsd-10              20170403    bsd      zvol          2017-04-03
d6542cce-1815-11e7-92d7-cf2bd01fcadc  freebsd-11              20170403    bsd      zvol          2017-04-03
04179d8e-188a-11e7-af4a-1349e98cbd17  ubuntu-14.04            20170403    linux    lx-dataset    2017-04-03
7b5981c4-1889-11e7-b4c5-3f3bdfc9b88b  ubuntu-16.04            20170403    linux    lx-dataset    2017-04-03
68a837fe-1b9b-11e7-a66d-ab7961786c42  centos-6                20170407    linux    lx-dataset    2017-04-07
a55d245e-1e14-11e7-a248-63e9c9423280  debian-8                20170410    linux    zvol          2017-04-10
d0ebf524-2034-11e7-8e3d-878122f9de41  minimal-64              17.1.0      smartos  zone-dataset  2017-04-13
f6acf198-2037-11e7-8863-8fdd4ce58b6a  base-64                 17.1.0      smartos  zone-dataset  2017-04-13
6f52b344-2047-11e7-80a6-433c0fa4e424  pkgbuild                17.1.0      smartos  zone-dataset  2017-04-13
